출동소방서,시점,소방공무원,구급출동건수,구조출동건수,화재출동건수,기타출동건수,구급이송건수,구급이송인원,구조인원,사망,화재발생건수,재산피해경감율,인구,총인구수,면적,면적비율,1년 전 소방공무원
노원소방서,2020,273,22863,1553,197,2345,14034,14052,490,7,172,0.985,523037,9668465,35.44,5.86,273
노원소방서,2021,271,24411,1929,246,2465,14535,14546,393,11,173,0.99,510956,9509458,35.44,5.86,273
도봉소방서,2007,246,23243,976,171,463,16275,16542,587,16,364,0.0,375975,10192710,20.7,3.42,246
도봉소방서,2008,239,24648,923,260,730,17158,17391,1070,33,504,0.0,373936,10200827,20.7,3.42,246
도봉소방서,2009,251,25854,898,256,1185,18177,18410,1095,23,483,0.0,369733,10208302,20.7,3.42,239
도봉소방서,2010,249,26930,1033,217,1537,18762,19000,836,20,376,0.0,368298,10312545,20.7,3.42,251
도봉소방서,2011,254,26729,1137,149,1594,19083,19359,933,29,294,0.95,365573,10249679,20.7,3.42,249
도봉소방서,2012,163,17990,1420,172,1738,13257,13382,642,14,223,0.954,362270,10195318,20.7,3.42,254
도봉소방서,2013,197,11980,1267,221,1634,8914,9005,537,7,218,0.902,358582,10143645,20.7,3.42,163
도봉소방서,2014,198,13465,993,221,1875,9802,9904,543,5,197,0.958,353709,10103233,20.7,3.42,197
도봉소방서,2015,214,15637,1080,251,1969,11251,11356,688,6,188,0.962,351242,10022181,20.71,3.42,198
도봉소방서,2016,214,16617,1020,270,2110,11431,11522,836,3,222,0.962,348220,9930616,20.67,3.42,214
도봉소방서,2017,217,16815,1054,205,2249,11368,11512,905,4,192,0.967,344166,9857426,20.67,3.41,214
도봉소방서,2018,217,17084,1074,254,2084,11495,11551,1029,13,237,0.98,339413,9765623,20.67,3.41,217
도봉소방서,2019,218,16495,1033,204,1609,10896,10963,1112,2,179,0.975,333362,9729107,20.66,3.4,217
도봉소방서,2020,227,15221,981,195,1454,9367,9371,411,3,163,0.924,325257,9668465,20.65,3.41,218
도봉소방서,2021,234,17521,1134,194,1660,10695,10708,296,1,140,0.991,317366,9509458,20.65,3.41,227
동대문소방서,2007,222,16442,1052,383,622,10929,11090,439,16,374,0.0,376421,10192710,14.2,2.35,201
동대문소방서,2008,213,16409,902,340,1100,11118,11337,479,7,313,0.0,370250,10200827,14.2,2.35,222
동대문소방서,2009,294,17569,994,298,1378,11827,12024,347,9,266,0.0,362146,10208302,14.2,2.35,213
동대문소방서,2010,283,18237,1125,268,1694,12257,12437,484,6,229,0.0,366786,10312545,14.2,2.35,294
동대문소방서,2011,276,18073,1355,221,2009,12189,12326,637,4,211,0.948,365486,10249679,14.2,2.35,283
동대문소방서,2012,264,18574,1699,201,1978,13010,13193,638,9,188,0.946,363258,10195318,14.2,2.35,276
동대문소방서,2013,264,19315,1572,224,1911,13078,13194,522,6,206,0.955,364273,10143645,14.21,2.35,264
동대문소방서,2014,265,20554,1127,259,2128,14172,14307,980,9,221,0.948,363687,10103233,14.21,2.35,264
동대문소방서,2015,265,21555,983,267,2173,14283,14439,596,12,223,0.959,360153,10022181,14.21,2.35,265
동대문소방서,2016,265,21651,1028,288,2373,14088,14257,823,17,236,0.912,355069,9930616,14.22,2.35,265
동대문소방서,2017,266,22357,1065,212,2520,13988,14136,859,12,200,0.97,350647,9857426,14.22,2.35,265
동대문소방서,2018,269,23001,1160,217,2132,14372,14492,797,9,203,0.93,348052,9765623,14.22,2.35,266
동대문소방서,2019,271,21684,1084,241,1621,13529,13628,511,11,195,0.911,346194,9729107,14.22,2.3,269
동대문소방서,2020,270,19232,1006,196,1539,10538,10542,393,6,152,0.849,342837,9668465,14.22,2.35,271
동대문소방서,2021,271,21241,1258,235,1713,11962,11967,322,19,155,0.823,337400,9509458,14.22,2.35,270
동작소방서,2007,190,12030,872,237,395,8171,8317,559,5,229,0.0,405967,10192710,16.35,2.7,190
동작소방서,2008,181,11836,762,232,792,7983,8149,538,9,212,0.0,400866,10200827,16.35,2.7,190
동작소방서,2009,189,12617,886,256,1274,8609,8787,501,3,237,0.0,397920,10208302,16.35,2.7,181
동작소방서,2010,192,13109,1084,244,1982,8987,9103,410,4,226,0.0,402709,10312545,16.35,2.7,189
동작소방서,2011,200,12874,1221,231,1919,8713,8819,997,12,197,0.956,401408,10249679,16.35,2.7,192
동작소방서,2012,225,12656,1441,269,1711,8567,8674,541,4,209,0.992,405491,10195318,16.35,2.7,200
동작소방서,2013,228,12518,1470,227,1794,8546,8651,2045,15,159,0.966,410815,10143645,16.35,2.7,225
동작소방서,2014,229,13812,1032,243,1960,9270,9365,664,13,178,0.997,407470,10103233,16.35,2.7,228
동작소방서,2015,228,15768,953,274,1949,9994,10161,561,3,185,0.983,400641,10022181,16.35,2.7,229
동작소방서,2016,227,15940,921,269,2118,10185,10321,609,5,215,0.996,400997,9930616,16.35,2.7,228
동작소방서,2017,231,16766,907,240,1995,10807,10960,571,15,222,0.997,396217,9857426,16.35,2.7,227
동작소방서,2018,231,17060,1005,222,1822,11202,11276,577,16,205,0.959,396203,9765623,16.35,2.7,231
동작소방서,2019,234,16500,1069,233,1485,10758,10839,440,10,208,0.941,395963,9729107,16.35,2.7,231
동작소방서,2020,234,14053,1025,178,1399,8749,8754,320,11,151,0.991,391220,9668465,16.35,2.7,234
동작소방서,2021,233,15130,1102,213,1744,9078,9088,295,9,129,0.929,385483,9509458,16.36,2.7,234
마포소방서,2007,208,17492,1192,413,518,11367,11644,750,11,324,0.0,392650,10192710,23.87,3.94,208
마포소방서,2008,226,17466,1190,406,928,11504,11746,719,13,294,0.0,385119,10200827,23.87,3.94,208
마포소방서,2009,241,19664,1239,295,1536,12872,13122,576,7,192,0.0,384013,10208302,23.87,3.94,226
마포소방서,2010,247,20362,1451,247,2099,13440,13756,566,18,179,0.0,391865,10312545,23.88,3.95,241
마포소방서,2011,248,19470,1791,262,2105,12854,13130,708,8,209,0.989,389493,10249679,23.84,3.94,247
마포소방서,2012,295,21238,2350,334,2127,14100,14326,828,7,209,0.966,384644,10195318,23.84,3.94,248
마포소방서,2013,301,22044,2312,309,2249,14550,14727,1041,4,226,0.995,381856,10143645,23.84,3.94,295
마포소방서,2014,296,24278,1579,292,2578,16380,16568,1006,6,250,0.969,385439,10103233,23.84,3.94,301
마포소방서,2015,308,25451,1445,428,2515,16582,16811,987,7,251,0.954,387643,10022181,23.84,3.94,296
마포소방서,2016,308,27287,1553,390,2682,17474,17661,1028,13,283,0.991,379892,9930616,23.84,3.94,308
마포소방서,2017,305,28073,1476,282,2739,17240,17454,1142,12,235,0.964,374915,9857426,23.85,3.94,308
마포소방서,2018,308,28905,1567,320,2314,17778,17922,695,4,254,0.977,375077,9765623,23.85,3.94,305
마포소방서,2019,310,27296,1735,311,1978,16839,16994,799,4,246,0.95,374035,9729107,23.85,3.9,308
마포소방서,2020,310,22939,1598,329,2141,13524,13530,667,2,240,0.852,371890,9668465,23.85,3.94,310
